Library Name,Library ID,Address,Contact Info,Services
Valittukirjasto: Itäkeskuksen kirjasto,84927,"Turunlinnantie 1, 00900 Helsinki",itakeskuksen_kirjasto@hel.fi,"AV-studio          



            Kokoushuone          



            Lukusali          



            Ryhmätila Vuokko          



            Ryhmätyötila Minttu          



            Ryhmätyötila Ruusu          



            Ryhmätyötila Sini | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Ekohylly          



            Lautapelit          


                  Lehtialue              


            Sateenkaarihylly | Avoinna lauantaisin          



            Avoinna sunnuntaisin          



            Celia-verkkoasiakkaaksi rekisteröityminen          



            Digituki          



            Enter ry:n opastukset          



            Itsepalvelulainaus ja -palautus          



            Itsepalvelutulostus          



            Kahvila          



            Kirjankierrätyspiste          


                  Koirat sallittu              

                  Korttimaksumahdollisuus              


            Koulu- ja päiväkotiyhteistyö, kirjastonkäytön opetus ja kiertokäynnit          


                  Käteismaksumahdollisuus              


            Langaton verkko (Wi-Fi)          



            Lukukoira          



            Lukupiirit          



            Musiikin kuuntelumahdollisuus          



            Satutunnit          


                  Varausten itsepalvelunouto | 3D-tulostin          



            Arabiankielinen näppäimistö          



            Digitaalipiano          



            Digitointilaite          



            Hublet-tabletit          



            Kannettavat tietokoneet          



            Kopiokone (väri)          



            Kyrillinen näppäimistö          



            Lainattavat soittimet          



            Lainausautomaatti          



            Lehdenlukutabletti          



            Lyömäsoitinlaukku          



            Olosuhdemittain          



            Ompelukoneet          



            Palautusautomaatti          



            Pelikonsoli          



            Puhelinten latauskaappi          



            Roskapihdit          


                  Tietokoneet              

                  Tulostimet (väri)              


            Vinyylileikkuri ja lämpöprässi"
Valittukirjasto: Jakomäen kirjasto,84854,"Jakomäenpolku 3, 00770 Helsinki",jakomaen_kirjasto@hel.fi,"3D-tulostin          



            Erilliset näppäimistöt          



            Kannettavat tietokoneet          



            Kopiokoneet (väri)          



            Kuntoiluvälineet          



            Kävelysauvat          


                  Lehdenlukutabletit              


            Pelikonsolit          



            Senioriliikuntareppu          



            Skanneri          


                  Sähkönkulutusmittarit | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            e-lehdet          


                  Lautapelit              

                  Lehdet | Avoinna lauantaisin          



            Celia-verkkoasiakkaaksi rekisteröityminen          



            Digituki          


                  Itsepalvelulainaus ja -palautus              


            Itsepalvelutulostus          



            Kaukopalvelu          



            Kirjakierrätyspiste          


                  Koirat sallittu              

                  Korttimaksumahdollisuus              


            Kouluyhteistyö, kirjastonkäytön opetus ja kiertokäynnit          


                  Langaton verkko              

                  Lukupiirit              

                  Varausten itsepalvelunouto              

                  Vesiautomaatti | Lehtilukusali"
Valittukirjasto: Jätkäsaaren kirjasto,86406,"Tyynenmerenkatu 1, 00220 Helsinki",jatkasaaren_kirjasto@hel.fi,"Avoinna lauantaisin              


            Digituki          


                  Itsepalvelutulostus              

                  Koirat sallittu              

                  Korttimaksumahdollisuus              

                  Langaton verkko (Wi-Fi) | Kopiokoneet (mustavalko)              

                  Kopiokoneet (väri)              

                  Pelikonsolit              

                  Skannerit              

                  Tietokoneet              

                  Tulostin (mustavalko)              

                  Tulostin (väri) | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          


                  Lautapelit"
Valittukirjasto: Kalajärven kirjasto,84833,"Ruskaniitty 4, 02970 Espoo",kirjasto.kalajarvi@espoo.fi,"Avoinna lauantaisin          



            Avoinna sunnuntaisin          



            Digituki          



            Itsepalvelutulostus          



            Kaukopalvelu          



            Koirat sallittu          



            Korttimaksumahdollisuus          



            Koulu- ja päiväkotiyhteistyö, kirjastonkäytön opetus ja ryhmäkäynnit          



            Langaton verkko (Wi-Fi)          



            Omatoimikirjasto | Asiakastietokoneet          



            Kopiokone          



            Skannerit          



            Sähkönkulutusmittarit | E-kirjasto (e-kirjat, äänikirjat, digilehdet)"
Valittukirjasto: Kalasataman kirjasto,86738,"Hermannin rantatie 5, 00580 Helsinki",kalasataman_kirjasto@hel.fi,"Avoinna lauantaisin              


            Celia-verkkoasiakkaaksi rekisteröityminen          



            Digituki          



            Itsepalvelutulostus          



            Kaukopalvelu          



            Kirjastonkäytön ryhmäopastus          


                  Koirat sallittu              


            Korttimaksumahdollisuus          



            Lainattava Korkeasaaren kausikortti          



            Lainaus-ja palautusautomaatit          



            Langaton verkko (Wi-Fi)          


                  Lukupiirit | Digilehtien lukupiste          



            Kopiokone          



            Monitoimilaite          



            Pelikonsolit          



            Tietokoneet | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Lautapelit          



            Lehdet          



            Sateenkaarihylly"
Valittukirjasto: Kallion kirjasto,84860,"Viides linja 11, 00530 Helsinki",kallion_kirjasto@hel.fi,"Avoinna lauantaisin              

                  Avoinna sunnuntaisin              


            Celia-verkkoasiakkaaksi rekisteröityminen          



            Digituki          



            Enter ry:n opastukset          



            Kaukopalvelu          



            Kirjakierrätys          



            Käteismaksumahdollisuus          


                  Langaton verkko (Wi-Fi)              


            Ulkopelit | Hiljainen työskentelytila          



            Näyttelytila          



            Ryhmätila Kontio          



            Ryhmätila Otso          



            Vuokrattava ryhmätila Dekkarikirjasto | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Ekohylly          



            Käsikirjasto          



            Lautapelit          



            Lukupysäkki          



            Sateenkaarihylly | A-tikkaat          



            Energiankulutusmittari          



            Infrapunalämpömittari          



            Kannettavat tietokoneet          



            Kopiokone (väri)          



            Kosteusmittari          



            Liikuntavälineet          



            Muistikortinlukijat          



            Nokkakärryt          



            Radonmittari          



            Rakenneilmaisin          



            Roskapihdit          



            Skanneri          



            Soittimet          



            Tietokoneet          



            Tulostimet (väri)"
Valittukirjasto: Kannelmäen kirjasto,84847,"Klaneettitie 5, 00420 Helsinki",kannelmaen_kirjasto@hel.fi,"Dataprojektori          



            Digilehtien lukupiste          


                  Kopiokone (väri)              


            Kuntoiluvälineet          



            Kuulokkeet          



            Lainaus- ja palautusautomaatit          



            Laminointilaite          



            Latauskaappi kännykälle          



            Muistikortinlukijat          



            Ompelukone          



            Roskapihdit          


                  Skanneri              


            Tietokoneet          



            Tulostin (väri) | Avoinna lauantaisin          



            Celia-verkkoasiakkaaksi rekisteröityminen          



            Digituki          



            Enter ry:n opastukset          


                  Itsepalvelutulostus              


            Kirjakierrätyspiste          


                  Koirat kielletty              

                  Korttimaksumahdollisuus              


            Langaton verkko (Wi-Fi)          



            Lukupiirit          


                  Mikroaaltouuni              

                  Musiikin kuuntelumahdollisuus              


            Valkokangas | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          


                  ePress-lehtipalvelu              

                  Lautapelit              


            Sateenkaarihylly | Lehtilukusalit              


            Monitoimitila Tempo          



            Näyttelytila          



            Työhuone"
Valittukirjasto: Käpylän kirjasto,84861,"Väinölänkatu 5, 00610 Helsinki",kapylan_kirjasto@hel.fi,"Dataprojektori          


                  Kopiokone (väri)              


            Muistikortinlukija          


                  Skanneri              


            Tietokoneet          


                  Tulostin (väri) | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Sateenkaarihylly | Celia-verkkoasiakkaaksi rekisteröityminen          



            Kirjakierrätyspiste          


                  Koirat sallittu              


            Langaton verkko (Wi-Fi)          



            Valkokangas | Näyttelytila"
Valittukirjasto: Karhusuon kirjasto,84789,"Karhuniitynkuja 3, 02810 Espoo",kirjasto.karhusuo@espoo.fi,"Avoinna lauantaisin          



            Avoinna sunnuntaisin          



            Kaukopalvelu          



            Koirat sallittu          



            Korttimaksumahdollisuus          



            Koulu- ja päiväkotiyhteistyö, kirjastonkäytön opetus ja ryhmäkäynnit          



            Langaton verkko (Wi-Fi)          



            Omatoimikirjasto | Asiakastietokoneet          



            Kopiokone          



            Skanneri          



            Tulostimet | E-kirjasto (e-kirjat, äänikirjat, digilehdet)"
Valittukirjasto: Kauklahden kirjasto,84790,"Hansakallio 2, 02780 Espoo",kirjasto.kauklahti@espoo.fi,"Asiakastietokoneet          



            Kopiokone          



            Roskapihdit          



            Skannerit          



            Tulostimet (väri) | Avoinna lauantaisin          



            Avoinna sunnuntaisin          



            Celia-verkkoasiakkaaksi rekisteröityminen          



            Digituki          



            Kaukopalvelu          



            Kirjakierrätys          



            Koirat sallittu          



            Korttimaksumahdollisuus          



            Koulu- ja päiväkotiyhteistyö, kirjastonkäytön opetus ja ryhmäkäynnit          



            Langaton verkko          



            Omatoimikirjasto          



            Varausten itsepalvelunouto | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Lautapelit | Kokoustilat"
Valittukirjasto: Kauniaisten kirjasto,84779,"Palokunnantie 3, 02700 Kauniainen",kirjasto@kauniainen.fi,"Energiankulutusmittari          



            Kopiokone (väri)          



            Skannerit          



            Sydäniskuri          



            Tablettitietokoneet          



            Tietokoneet          



            Tuhottavien paperien säiliö          



            Tulostin (väri) | Celia-verkkoasiakkaaksi rekisteröityminen          



            Korttimaksumahdollisuus          


                  Käteismaksumahdollisuus              


            Langaton verkko (Wi-Fi)          



            Lukupiirit          



            Omatoimikirjasto          



            Palautusluukku          



            Ulkopelejä | E-kirjasto (e-kirjat, äänikirjat, digilehdet) | Satuhuone"
Valittukirjasto: Koivukylän kirjasto,84873,"Ojalehdonkuja 1, 01400 Vantaa",koivukyla.kirjasto@vantaa.fi,"Avoinna lauantaisin          



            Celia-verkkoasiakkaaksi rekisteröityminen          



            Digituki          



            Itsepalvelulainaus ja -palautus          


                  Itsepalvelutulostus              


            Koirat kielletty          



            Langaton verkko          



            Varausten itsepalvelunouto | E-lehtien lukulaitteet          



            Erilliset näppäimistöt          



            Kannettavat tietokoneet          



            Kuulokkeet          



            Monitoimilaite          



            Pelikonsolit          



            Roskapihdit          



            Sähkönkulutusmittarit          



            Taustamelua vähentävät kuulokkeet | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Lautapelit          



            Lehdet | Hiljainen työskentelytila"
Valittukirjasto: Kontulan kirjasto,84863,"Ostostie 4, 00940 Helsinki",kontulan_kirjasto@hel.fi,"Avoinna lauantaisin          



            Celia-verkkoasiakkaaksi rekisteröityminen          



            Digitukea seniorilta seniorille          



            Digituki maahanmuuttajille          


                  Koirat sallittu              


            Korttimaksumahdollisuus          



            Langaton verkko (Wi-Fi) | 3D-tulostin          



            Dataprojektori          



            Hattuprässi          



            Kopiokone (väri)          



            Kävelysauvat          



            Ompelukone          



            Pelikonsoli          



            Pintalämpömittari          


                  Radonmittari              


            Roskapihdit          



            Skanneri          



            Suurkuvatulostimet          


                  Sähkönkulutusmittari              


            T-paidat, kangaskassit          



            Tietokoneet          



            Tulostin          



            Vinyylileikkuri | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Lautapelit          



            Sateenkaarihylly | Lukusali"
Valittukirjasto: Kontulan palvelukeskuskirjasto,84750,"Kontukuja 5, 00940 Helsinki",kontulan_kirjasto@hel.fi,"E-kirjasto (e-kirjat, äänikirjat, digilehdet)"
Valittukirjasto: Kustaankartanon palvelukeskuskirjasto,84751,"Oltermannintie 32, rakennus E, 00620 Helsinki",oulunkylan_kirjasto@hel.fi,"E-kirjasto (e-kirjat, äänikirjat, digilehdet) | Celia-verkkoasiakkaaksi rekisteröityminen"
Valittukirjasto: Laajalahden kirjasto,84793,"Kurkijoentie 24, 02140 Espoo",kirjasto.laajalahti@espoo.fi,"Kopiokoneet (väri)          



            Monitoimilaite          



            Tietokoneet          



            Tulostin | Avoinna lauantaisin          



            Avoinna sunnuntaisin          



            Digituki          



            Kaukopalvelu          



            Kirjakierrätyspiste          



            Koirat sallittu          



            Korttimaksumahdollisuus          



            Koulu- ja päiväkotiyhteistyö, kirjastonkäytön opetus ja ryhmäkäynnit          



            Langaton verkko (Wi-Fi)          



            Omatoimikirjasto | Kokoustilat | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Lautapelit"
Valittukirjasto: Laajasalon kirjasto,84848,"Yliskylän puistokatu 4, 00840 Helsinki",laajasalon_kirjasto@hel.fi,"Avoinna lauantaisin          



            Celia-verkkoasiakkaaksi rekisteröityminen          



            Digituki          



            Enter ry:n opastukset          



            Itsepalvelutulostus          



            Kirjakierrätys          



            Koirat sallittu          



            Korttimaksumahdollisuus          



            Langaton verkko (Wi-Fi)          



            Lukupiirit          



            Omatoimikirjasto          



            Ulkopelit | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Ekohylly          



            Lautapelit          



            Lehdet          



            Sateenkaarihylly | Kokoushuone Luoto          



            Lukusali Tyyni          



            Näyttelytila Galleria Salmi          



            Terassi          



            Tilojen varaaminen | Digitaalipiano          



            Kopiokone (väri)          



            Kuulokkeet          


                  Kävelysauvat              


            Ompelukone          



            Roskapihdit          



            Skanneri          



            Sähkönkulutusmittarit          



            Tietokoneet          



            Tulostimet (väri)"
Valittukirjasto: Laaksolahden kirjasto,84794,"Veininkatu 24, 02730 Espoo",kirjasto.laaksolahti@espoo.fi,"Kopiokone (väri)          



            Skanneri          



            Tietokoneet          



            Tulostin (väri) | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Lautapelit          



            Lehdet | Avoinna lauantaisin          



            Avoinna sunnuntaisin          



            Digituki          



            Kaukopalvelu          



            Koirat sallittu          



            Korttimaksumahdollisuus          



            Koulu- ja päiväkotiyhteistyö, kirjastonkäytön opetus ja ryhmäkäynnit          



            Langaton verkko (Wi-Fi)          



            Omatoimikirjasto | Näyttelytila"
Valittukirjasto: Länsimäen kirjasto,84875,"Suunnistajankuja 2, 01280 Vantaa",lansimaki.kirjasto@vantaa.fi,"Akkuiskuporakone          



            Erilliset näppäimistöt          



            Kopiokoneet (mustavalko)          



            Kopiokoneet (väri)          



            Latauslaitteet          



            Roskapihdit          



            Skannerit          



            Tietokoneet          



            Tulostimet (mustavalko)          



            Tulostimet (väri) | Celia-verkkoasiakkaaksi rekisteröityminen          



            Itsepalvelulainaus ja -palautus          



            Kirjapaketit perheille          


                  Koirat sallittu              


            Langaton verkko          



            Omatoimikirjasto          


                  Varausten itsepalvelunouto | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Lautapelit          



            Lehdet | Kokoushuone Salonki          



            Lehtilukusalit"
Valittukirjasto: Lauttasaaren kirjasto,84864,"Pajalahdentie 10 a, 00200 Helsinki",lauttasaaren_kirjasto@hel.fi,"Avoinna lauantaisin          



            Celia-verkkoasiakkaaksi rekisteröityminen          


                  Itsepalvelulainaus ja -palautus              


            Itsepalvelutulostus          


                  Kahviautomaatti              

                  Koirat kielletty              

                  Korttimaksumahdollisuus              


            Langaton verkko (Wi-Fi)          



            Näyttelyvitriini          



            Omatoimikirjasto | Energiamittari          



            Kannettavat tietokoneet          



            Kopiokone (väri)          



            Kosteusmittari          



            Radonmittari          


                  Skanneri              


            Tietokoneet          


                  Tulostimet (väri) | E-kirjasto (e-kirjat, äänikirjat, digilehdet) | Lehtilukusalit"
Valittukirjasto: Lippulaivan kirjasto,86685,"Espoonlahdenkatu 8, 02320 Espoo",kirjasto.lippulaiva@espoo.fi,"3D-tulostimet          



            Kannettavat tietokoneet          



            Kopiokone          



            Lainattavat esineet          



            Lainaus- ja palautusautomaatit          



            Ompelukoneet          



            Pelikonsolit          



            Saumuri          



            Skannerit          



            Tuhottavan paperin säilö | Avoinna lauantaisin              

                  Avoinna sunnuntaisin              


            Biljardi          



            Celia-verkkoasiakkaaksi rekisteröityminen          



            Itsepalvelutulostus          



            Kaukopalvelu          



            Kirjakierrätys          



            Koirat sallittu          



            Korttimaksumahdollisuus          



            Koulu- ja päiväkotiyhteistyö, kirjastonkäytön opetus ja ryhmäkäynnit          



            Langaton verkko (Wi-Fi)          



            Tapahtuman järjestäminen kirjastossa          



            Varausten itsepalvelunouto | Näyttelyseinä          



            Ompeluhuone Solmu          



            Paja          



            Pelitila Messi          



            Pieni kokoustila Hytti          



            Salonki, monitoimitila          



            Suuri kokoustila Kajuutta          



            Tilojen varaaminen          



            Yhteisökeittiö Kapyysi | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Lehdet"
Valittukirjasto: Lumon kirjasto,84874,"Urpiaisentie 14, 01450 Vantaa",lumo.kirjasto@vantaa.fi,"Kokoustila          



            Lukusali          



            Näyttelytila          



            Paja          



            Pelihuone          



            Ryhmätyötila          



            Satuhuone          



            Vauvanhoitohuone          



            Äänieristetty tila | Avoinna lauantaisin          



            Celia-verkkoasiakkaaksi rekisteröityminen          



            Digituki          



            Itsepalvelulainaus- ja palautus          



            Kahvilat ja ravintolat          



            Kirjakierrätys          


                  Koirat sallittu              


            Kouluyhteistyö, kirjastonkäytön opetus ja kiertokäynnit          



            Langaton verkko (Wi-Fi)          



            Lukupiirit          



            Satutuokio          



            Ulkopelit          



            Varausten itsepalvelunouto | 3D-tulostin          



            Energiankulutusmittari          



            Kannettavat tietokoneet          



            Kopiokone          



            Kopiokoneet (mustavalko)          



            Mediatyöasema          



            Ompelukoneet          



            Pelikonsoli          



            Roskapihdit          



            Saumuri          



            Skanneri          



            Tietokoneet          



            Tulostimet (väri)          



            Tulostin (mustavalko) | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Lautapelit          



            Lehdet"
